ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
7083;D9804;12-XXS-45.158000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 45,158MHz;SMD MEMS Osc 2,5x2,0 45,158MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7084;D9804;12-XXS-45.158400E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 45,1584MHz;SMD MEMS Osc 2,5x2,0 45,1584MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7085;D9804;12-XXS-45.578000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 45,578MHz;SMD MEMS Osc 2,5x2,0 45,578MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7086;D9804;12-XXS-46.080000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 46,08MHz;SMD MEMS Osc 2,5x2,0 46,08MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7087;D9804;12-XXS-46.977848E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 46,977848MHz;SMD MEMS Osc 2,5x2,0 46,977848MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7088;D9804;12-XXS-47.000000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 47MHz;SMD MEMS Osc 2,5x2,0 47MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7089;D9804;12-XXS-47.388500E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 47,3885MHz;SMD MEMS Osc 2,5x2,0 47,3885MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7090;D9804;12-XXS-47.515000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 47,515MHz;SMD MEMS Osc 2,5x2,0 47,515MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7091;D9804;12-XXS-48.900000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 48,9MHz;SMD MEMS Osc 2,5x2,0 48,9MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7092;D9804;12-XXS-49.000000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 49MHz;SMD MEMS Osc 2,5x2,0 49MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
