ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
4916;T1571;ERSA-032BD;Zubehör für ERSA 230V-Lötkolben und MS25;Replacement Bits for ERSA 230V and MS250;Lötspitze 30S Bleistift 1,1mm;Soldering Tip 30S Pencil 1,1mm;6,53;1;5,38;5;4,45;10;4,34;25;4,15;50
4917;D9111;QM018.432;Mikroprozessor-Quarze HC-49/U;Quartz Crystals HC-49/U;Quarz 18.432.000Hz HC-49/U;Crystal 18.432.000Hz HC-49/U;41,1;10;28,1;50;21,6;300;19,1;1000;16,6;2000
4918;T1533;AT107;ANTEX Austauschspitzen für ATM240, ATC24;Replacement Bits for ATM_-,ATMC_ Solderi;Lötspitze fein 0,12mm Kupfer;Soldering Tip Fine 0,12mm Copper;3,42;1;2,89;10;2,63;20;2,51;50;2,39;100
4919;W2327;EL19-21UYC/S53;EVERLIGHT SMD-Leuchtdioden klar 0603;EVERLIGHT SMD Light-Emitting Diodes wate;SMD-LED gelb 40mcd 100° 0603;SMD-LED Yellow 40mcd 100° 0603;4,65;100;3,49;500;2,91;3000;2,78;6000;2,64;12000
4920;C1911;SNR04024K004.7-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x4K7 Gurt;SMD Res.Network 0,063W 5% 4x4K7 Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4921;F2536;PFL60Z;Zugentlastungen für Pfostenverbinder;Strain Relief for IDC Connectors;Zugentlastung für PFL60 grau;Strain Relief for PFL60 Grey;54,98;10;37,62;50;28,94;300;26,52;1000;24,12;2000
4922;C5215;CV330PFN-5;Keramik-Vielschicht-Kondensatoren NP0 RM;Ceramic Multilayer Capacitors NP0 P5,08;Vs-Kond 330pF 100V NPO RM5,08;MLC Capacitor 330pF 100V NPO P5,08;8,35;100;6,25;500;5,2;2000;4,75;5000;4,3;10000
4923;D9534;COH2.4576M;Quarzoszillatoren im DIL8-Metallgehäuse;Crystal Oscillators DIL8 Metal Housing;QOsz 2,4576MHz DIL8Met CMOS/TTL;Oscillator 2,4576MHz DIL8 CMOS/TTL;1,9;5;1,4;25;1,15;100;1;200;0,85;500
4924;G2641;HFS101SW;Silikon-Messleitungen 4mm-Stecker 100cm;Silicone Test Leads, 4mm Jack, 100cm;Silikon-Messleitung 1m schwarz;Silicone Test Lead 1m Black;4,69;1;3,97;10;3,61;50;3,44;100;3,28;200
4925;T7114;EEB110SK;ESD-Erdungsbausteine;ESD Grounding Systems;E-Stecker 2,4m Spiralleitung D=10,3mm;E-Plug 2,4m Spiral Cord D=10,3mm;12,8;1;10,8;2;9,8;5;9,35;10;8,9;20
4926;C1911;SNR04024E022-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x22R Gurt;SMD Res.Network 0,063W 5% 4x22R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4927;C5147;KEPF068-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 68pF 500V RM5,08 5% SL;Cer Capacitor 68pF 500V P5,08 5% SL;3,9;100;2,5;500;1,8;2000;1,6;5000;1,4;10000
4928;W6260;EADIP240J-7KLW;EL. ASSEMBLY LCD-Grafikmodule FSTN monoc;EL. ASSEMBLY LCD-Graphics-Modules FSTN m;FSTN 240x128 schw./weiß 96,0x60,4mm DIL;FSTN 240x128 Black/White 96,0x60,4mm DIL;135,83;1;122,24;2;106,85;5;103,23;10;97,79;20
4929;G9510;ICKSMDB7SA;Strang-Kühlkörper für DIL, PLCC, SMD;Extruded Heatsinks for DIL, PLCC, SMD;SMD-Kühlkörper eloxiert 19x4,8x7 quer;SMD Heatsink Anodized 19x4,8x7 Cross;51,58;10;35,4;50;27,14;200;25,27;1000;23,39;3000
4930;T1712;GASCAT75;ANTEX Gaslötkolben 60W butangasbetrieben;ANTEX Gas Soldering Irons 60W, Butane Ga;Gaslötkolben GS/TÜV 75W;Gas Soldering Iron GS/TÜV 75W;46,36;1;39,22;5;35,68;10;34,04;25;32,41;50
4931;C1931;SNR06034K006.8-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x6K8 Gurt;SMD Res.Network 0,063W 5% 4x6K8 Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4932;G8415;KS58SW;Kabel-Knickschutztüllen;Cable Protective Sleeve;PVC Knickschutz RG58 schwarz;PVC Protective Sleeve RG58 Black;14;100;11,1;500;9,65;1000;9,2;3000;8,75;5000
4933;C1931;SNR06034K001.5-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x1K5 Gurt;SMD Res.Network 0,063W 5% 4x1K5 Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4934;G5117;HA1590DDFLBK;Hammond Aluminium-Druckgussgehäuse mit F;Hammond Diecast Aluminium Enclosures Fla;Alu-Gehäuse 187x119x37 Flansch sw;Aluminium Encl. 187x119x37 Fl. Lid BK;23,36;1;19,76;5;17,98;10;17,16;25;16,33;50
4935;W6249;EAW160-7KHLWTP;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 160x128 weiß/blau 101,0x82,0mm +TP;STN 160x128 White/Blue 101,0x82,0mm +TP;234,17;1;210,75;5;184,21;10;177,97;25;168,6;50
4936;R2271;K67-100;CRC Elektronik-Sprays: Druckluft;CRC Electronic Sprays: Dust Off;Druckluft 67 100ml;Druckluft 67 Dust Off Spray 100ml;7,41;1;6,02;6;5,28;12;5,19;24;5;60
4937;F7211;SMA-BC174;SMA-Stecker;SMA-Plugs;SMA-K-Buchse CR/löt RG174U;SMA-Jack Cr/Solder RG174U;2,4;5;1,9;25;1,65;100;1,55;200;1,45;500
4938;W3327;ELS516SYGWA/S53;EVERLIGHT 7-Segment-LED-Displays 1 Digit;EVERLIGHT 7-Segment LED-Displays 1 Digit;7Seg 13,2mm CA grün 3,2mcd;7Seg 13,2mm CA Green 3,2mcd;38,86;40;29,13;120;24,27;400;23,18;800;22,07;1600
4939;C1931;SNR06034E150-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x150R Gurt;SMD Res.Network 0,063W 5% 4x150R Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4940;C1911;SNR04024E047-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x47R Gurt;SMD Res.Network 0,063W 5% 4x47R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4941;C5145;KEPF330;Keramik-Scheiben-Kondensatoren RM5,08;Ceramic Disc Capacitors Pitch 5,08mm;Ker-Ko 330pF 100V RM5,08 10% Y5P;Cer Capacitor 330pF 100V P5,08 10% Y5P;3,55;100;2,25;500;1,6;2000;1,45;6000;1,3;10000
4942;C1931;SNR06034E068-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x68R Gurt;SMD Res.Network 0,063W 5% 4x68R Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4943;X8775;CKRD4830;Sensata/Crydom Elektronische Lastrelais;Sensata/Crydom Electronic Solid State Re;Lastrelais Z-Vers. 530V 30A DIN-Schiene;Solid State Relay Z-Vers. 530V 30A DIN-R;71,89;1;58,8;5;52,28;10;50,35;25;48,39;50
4944;W6249;EAW240-6K2HLWTP;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 240x64 weiß/blau 133,0x39,0mm +TP;STN 240x64 White/Blue 133,0x39,0mm +TP;200,88;1;180,79;5;158,03;10;152,67;25;144,63;50
4945;D2273;DPU022A2;Talema Speicher-/Entstördrosseln 2A;Talema Storage/EMI Suppression Chokes 2;Drossel 22uH 2A;Inductor 22uH 2A;0,72;10;0,57;50;0,5;200;0,47;500;0,43;1000
4946;X3723;ELPT204-6C;EVERLIGHT Fototransistoren EPLT_;EVERLIGHT Phototransistors ELPT_;Fototrans. klar 0,7mA 3mm;Phototrans. Water-clear 0,7mA 3mm;7,1;50;5,32;300;4,44;1000;4,24;3000;4,03;5000
4947;D2274;DPU022A3;Talema Speicher-/Entstördrosseln 3 A;Talema Storage/EMI Suppression Chokes 3;Drossel 22uH 3A;Inductor 22uH 3A;0,77;10;0,61;50;0,53;200;0,5;500;0,47;1000
4948;M5482;CDD3WS0512S;HN-Power HNP CDD3WS DC/DC-Wandler DIL24;HNP CDD3WS DC/DC Converter DIL24;DC/DC-Conv 5:12V 250mA 3W;DC/DC Conv 5:12V 250mA 3W;8,45;1;7,15;5;6,5;20;6,2;50;5,9;100
4949;C5145;KEPF068;Keramik-Scheiben-Kondensatoren RM5,08;Ceramic Disc Capacitors Pitch 5,08mm;Ker-Ko 68pF 100V RM5,08 10% SL;Cer Capacitor 68pF 100V P5,08 10% SL;3,35;100;2,15;500;1,55;2000;1,4;6000;1,25;10000
4950;G8431;MBF32;Metrische Kabelverschraubungen IP68 grau;Cable Glands Metric IP68 Grey;Kabelverschraubung M32 15-21mm;Cable Gland M32 15-21mm;212,07;10;145,52;50;111,57;200;103,91;500;96,16;1000
4951;W6240;EADOGL128E-6;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 128x64 schw./gelb 64,0x35,5mm COG;STN 128x64 Black/Yel. 64,0x35,5mm COG;19,28;1;17,35;10;15,16;50;14,65;100;13,88;200
4952;D2272;DPU033A1;Talema Speicher-/Entstördrosseln 1 A;Talema Storage/EMI Suppression Chokes 1;Drossel 33uH 1A;Inductor 33uH 1A;0,77;10;0,61;50;0,53;200;0,5;500;0,47;1000
4953;C1931;SNR06034M001-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x1M Gurt;SMD Res.Network 0,063W 5% 4x1M Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4954;C1911;SNR04024K001-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x1K Gurt;SMD Res.Network 0,063W 5% 4x1K Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4955;C5147;KEPF022-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 22pF 500V RM5,08 10% NPO;Cer Capacitor 22pF 500V P5,08 10% NPO;3,9;100;2,5;500;1,8;2000;1,6;5000;1,4;10000
4956;V4734;ZY36;Diotec Z-Dioden 2W ZY_ DO41;Diotec Z-Diodes 2W ZY_ DO41;Z-Diode 2W 36V DO41;Z-Diode 2W 36V DO41;7,78;100;4,78;500;3,78;2000;3,61;5000;3,44;10000
4957;F2226;MSL206GW;Stiftleisten abgewinkelt 2-reihig RM2,00;Pin Headers, Angled, Double Row, Pitch 2;Stiftleiste 2R gewinkelt 2x6polig Gold;Pin Header 2R Angled 2x6-Pole Au;28,2;10;19,3;50;14,85;200;14,2;500;13,55;1000
4958;C5147;KEPF330-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 330pF 500V RM5,08 10% Y5P;Cer Capacitor 330pF 500V P5,08 10% Y5P;4,1;100;2,6;500;1,85;2000;1,65;5000;1,45;10000
4959;C1931;SNR06034K470-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x470K Gurt;SMD Res.Network 0,063W 5% 4x470K Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
4960;T1578;ERSA-102PDLF02;Zubehör für ERSA i-Tool;Accessories for ERSA i-Tool;Lötspitze Nadel 0,2mm;Soldering Tip Needle 0,2mm;7,36;1;7,06;2;6,64;5;6,52;10;6,22;20
4961;C1911;SNR04024K100-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x100K Gurt;SMD Res.Network 0,063W 5% 4x100K Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4962;F5431;PG103PS;Klinken-Steckverbinder 3,5mm;Jack Sockets/Plugs 3,5mm;Mono-Klinkenstecker 3,5mm;Mono-Jack Plug 3,5mm;11,2;25;8,4;100;7;200;6,7;500;6,4;1000
4963;F1718;AMP282081-1;TYCO/AMP Dichtungen mit Kappen Superseal;TYCO/AMP Seals, Rubber Boots Superseal 1;Blindstopfen, rot;Cavity Plug, Red;4,75;25;3,55;100;2,95;500;2,7;1000;2,45;3000
4964;F7211;SMA-BC58;SMA-Stecker;SMA-Plugs;SMA-K-Buchse CR/löt RG58C/U;SMA-Jack Cr/Solder RG58C/U;2,21;5;1,76;25;1,53;100;1,43;200;1,34;500
4965;C1911;SNR04024E330-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x330R Gurt;SMD Res.Network 0,063W 5% 4x330R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4966;D2274;DPU033A3;Talema Speicher-/Entstördrosseln 3 A;Talema Storage/EMI Suppression Chokes 3;Drossel 33uH 3A;Inductor 33uH 3A;0,77;10;0,61;50;0,53;200;0,5;500;0,47;1000
4967;D2272;DPU047A1;Talema Speicher-/Entstördrosseln 1 A;Talema Storage/EMI Suppression Chokes 1;Drossel 47uH 1A;Inductor 47uH 1A;0,77;10;0,61;50;0,53;200;0,5;500;0,47;1000
4968;W2324;EL19-213/S3C-AN;EVERLIGHT SMD-Leuchtdioden diffus/klar 0;EVERLIGHT SMD Light-Emitting Diodes diff;SMD-LED orange 36-72mcd 120° 0603 fl.;SMD-LED Orange 36-72mcd 120° 0603 Flat;5,69;100;4,27;500;3,56;3000;3,4;6000;3,23;12000
4969;C5147;KEPF005.6-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 5,6pF 500V RM5,08 ±25pF NPO;Cer Capacitor 5,6pF 500V P5,08 ±25pF NPO;3,6;100;2,3;500;1,65;2000;1,5;5000;1,35;10000
4970;T7511;ICBOX31;IC-Transportboxen, Plastik;IC Transport Boxes, Plastic;Transportbox 67x116x14mm;Transport Box 67x116x14mm;2,48;5;1,96;25;1,7;50;1,62;100;1,54;250
4971;M5452;SW2-1512D;HN-Power HNP SW2 DC/DC-Wandler SIL7;HNP SW2 DC/DC Converter SIL7;DC/DC-Conv 15:+/-12V 2x82mA 2W;DC/DC Conv 15:+/-12V 2x82mA 2W;4,52;1;3,58;5;3,11;20;2,97;50;2,83;100
4972;D2273;DPU047A2;Talema Speicher-/Entstördrosseln 2A;Talema Storage/EMI Suppression Chokes 2;Drossel 47uH 2A;Inductor 47uH 2A;0,74;10;0,58;50;0,51;200;0,48;500;0,45;1000
4973;C5147;KEPF033-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 33pF 500V RM5,08 5% SL;Cer Capacitor 33pF 500V P5,08 5% SL;3,9;100;2,5;500;1,8;2000;1,6;5000;1,4;10000
4974;E3137;GQ12IP65-OR;Miniatur-Drucktaster IP65 12mm 2A/36VDC;Miniature Pushbutton Switches IP65 12mm;Miniaturtaster IP65 36VDC 2A or;Mini Momentary Switch IP65 36VDC 2A OG;4,5;1;3,4;5;2,85;20;2,6;50;2,35;100
4975;D9111;QM007.372;Mikroprozessor-Quarze HC-49/U;Quartz Crystals HC-49/U;Quarz 7.372.800Hz HC-49/U;Crystal 7.372.800Hz HC-49/U;41,1;10;28,1;50;21,6;300;19,1;1000;16,6;2000
4976;G7831;FS1977KL;Frontrahmen/Filterscheiben für LED/LCD-A;Frames/Filter Glasses for LED/LCD 13mm;Filterscheibe 90x25 klar;Filter Glass 90x25 Clear;74,64;5;59,2;25;51,5;100;49,14;200;46,78;500
4977;C1911;SNR04024E010-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x10R Gurt;SMD Res.Network 0,063W 5% 4x10R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4978;C1911;SNR04024E100-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x100R Gurt;SMD Res.Network 0,063W 5% 4x100R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4979;D2274;DPU047A3;Talema Speicher-/Entstördrosseln 3 A;Talema Storage/EMI Suppression Chokes 3;Drossel 47uH 3A;Inductor 47uH 3A;0,84;10;0,67;50;0,58;200;0,55;500;0,51;1000
4980;G8421;BKV21;PG-Kabelverschraubungen IP68 grau;PG-Cable Gland IP68 Grey;Kabelverschraubung PG21 13-18mm;Cable Gland PG21 13-18mm;120,36;10;82,59;50;63,32;200;58,97;500;54,58;1000
4981;C5147;KEPF010-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 10pF 500V RM5,08 5% NPO;Cer Capacitor 10pF 500V P5,08 5% NPO;3,9;100;2,5;500;1,8;2000;1,6;5000;1,4;10000
4982;D2276;DPU047A7.5;Talema Speicher-/Entstördrosseln 7,5A;Talema Storage/EMI Suppression Chokes 7,;Drossel 47uH 7,5A;Inductor 47uH 7,5A;1,47;10;1,17;50;1,02;200;0,95;500;0,89;1000
4983;T1533;AT102;ANTEX Austauschspitzen für ATM240, ATC24;Replacement Bits for ATM_-,ATMC_ Solderi;Lötspitze rund abgeflacht 2,3mm Chrom;Soldering Tip Round Flat 2,3mm Chrome;3,42;1;2,89;10;2,63;20;2,51;50;2,39;100
4984;D2272;DPU068A1;Talema Speicher-/Entstördrosseln 1 A;Talema Storage/EMI Suppression Chokes 1;Drossel 68uH 1A;Inductor 68uH 1A;0,77;10;0,61;50;0,53;200;0,5;500;0,47;1000
4985;D2273;DPU068A2;Talema Speicher-/Entstördrosseln 2A;Talema Storage/EMI Suppression Chokes 2;Drossel 68uH 2A;Inductor 68uH 2A;1,08;10;0,86;50;0,74;200;0,7;500;0,65;1000
4986;D2274;DPU068A3;Talema Speicher-/Entstördrosseln 3 A;Talema Storage/EMI Suppression Chokes 3;Drossel 68uH 3A;Inductor 68uH 3A;0,93;10;0,74;50;0,64;200;0,6;500;0,57;1000
4987;G8424;GM21;Zubehör für PG-Kabelverschraubungen;Accessories for PG Cable Glands;Gegenmutter PG21 aus Polyamid;Counter Nut PG21 Polyamide;57,46;10;39,31;50;30,24;200;27,71;500;25,21;1000
4988;C6218;FYD0H224ZF;GoldCap SMD Serie FYD/FYL;GoldCap SMD Series FYD/FYL;Supercap-El 0,22F 5,5V 14,5x15mm RM5,08;SuperCap 0,22F 5,5V 14,5x15mm P5,08;1,58;1;1,33;10;1,21;50;1,16;100;1,1;200
4989;M5444;SW1-1203S;HN-Power HNP SW1 DC/DC-Wandler SIL4;HNP SW1 DC/DC Converter SIL4;DC/DC-Conv 12:3V 300mA 1W;DC/DC Conv 12:3V 300mA 1W;3,22;1;2,56;5;2,23;20;2,13;50;2,03;100
4990;X3727;ELPT11-21C/L41;EVERLIGHT SMD-Fototransistoren ELPT_;EVERLIGHT SMD Phototransistors ELPT_;SMD-Fototrans. Lens klar 0,3mA 1206;SMD-Phototrans. Lens Water-clear 0,3mA 1;5,6;50;4,2;300;3,5;1000;3,34;3000;3,18;5000
4991;C5215;CV820PFN-5;Keramik-Vielschicht-Kondensatoren NP0 RM;Ceramic Multilayer Capacitors NP0 P5,08;Vs-Kond 820pF 100V NPO RM5,08;MLC Capacitor 820pF 100V NPO P5,08;10,75;100;8,05;500;6,7;2000;6,15;5000;5,6;10000
4992;W3625;ELF511SYGWA/S53;EVERLIGHT 7-Segment-LED-Displays 4 Digit;EVERLIGHT 7-Segment LED-Displays 4 Digit;4Dig 7Seg 14,22mm CC grün 4,5mcd;4Dig 7Seg 14,22mm CC Green 4,5mcd;145,71;10;109,24;50;91,01;100;86,92;200;82,76;500
4993;X8775;CKRD4820;Sensata/Crydom Elektronische Lastrelais;Sensata/Crydom Electronic Solid State Re;Lastrelais Z-Vers. 530V 20A DIN-Schiene;Solid State Relay Z-Vers. 530V 20A DIN-R;63,91;1;52,27;5;46,47;10;44,76;25;43,02;50
4994;C1911;SNR04024E470-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x470R Gurt;SMD Res.Network 0,063W 5% 4x470R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
4995;G5117;HA1590DFL;Hammond Aluminium-Druckgussgehäuse mit F;Hammond Diecast Aluminium Enclosures Fla;Alu-Gehäuse 187x119x56 Flansch sw;Aluminium Encl. 187x119x56 Fl. Lid BK;18,61;1;15,75;5;14,32;10;13,67;25;13,01;50
4996;D2276;DPU068A7.5;Talema Speicher-/Entstördrosseln 7,5A;Talema Storage/EMI Suppression Chokes 7,;Drossel 68uH 7,5A;Inductor 68uH 7,5A;1,92;10;1,52;50;1,33;200;1,24;500;1,16;1000
4997;C5149;KEPF330-2KV;RICHWELL Einschichtkondensator;Richwell Ceramic Disc Capacitor;Ker-Ko 330pF 2kV RM5 10% Y5P;Cer Capacitor 330pF 2kV P5 10% Y5P;7,7;100;4,9;500;3,5;2000;3,15;5000;2,8;10000
4998;D2272;DPU1000A1;Talema Speicher-/Entstördrosseln 1 A;Talema Storage/EMI Suppression Chokes 1;Drossel 1000uH 1A;Inductor 1000uH 1A;1,44;10;1,14;50;0,99;200;0,93;500;0,87;1000
4999;C5149;KEPF033-1KVR5;RICHWELL Einschichtkondensator;Richwell Ceramic Disc Capacitor;Ker-Ko 33pF 1kV RM5 5% CH;Cer Capacitor 33pF 1kV P5 5% CH;12,15;100;7,75;500;5,55;2000;5;5000;4,45;10000
5000;C5147;KEPF180-500V;Keramik-Scheiben-Kondensatoren RM5,08 50;Ceramic Disc Capacitors Pitch 5,08 500V;Ker-Ko 180pF 500V RM5,08 10% Y5P;Cer Capacitor 180pF 500V P5,08 10% Y5P;4,35;100;2,75;500;1,95;2000;1,75;5000;1,55;10000
5001;C1931;SNR06034K680-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x680K Gurt;SMD Res.Network 0,063W 5% 4x680K Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
5002;D2271;DPU100A0.5;Talema Speicher-/Entstördrosseln 0,5 A;Talema Storage/EMI Suppression Chokes 0,;Drossel 100uH 0,5A;Inductor 100uH 0,5A;0,72;10;0,57;50;0,5;200;0,47;500;0,43;1000
5003;C1931;SNR06034K330-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0603 5%;SMD-WNetzwerk 0,063W 5% 4x330K Gurt;SMD Res.Network 0,063W 5% 4x330K Taped;1,8;100;1,28;500;1,02;1000;0,9;3000;0,78;5000
5004;E2455;SRL-5-DS2;Lorlin Schlüsselschalter SRL;Lorlin Key Switches SRL;Schlüsselschalter 1xU 2 Pos. konisch;Key Switch SPDT 2 Pos. Tapered Lock;12,4;1;9,3;25;7,75;50;7,4;100;7,05;200
5005;F4791;BZK37;Befestigungswinkel für D-Sub-Steckverbin;Brackets for D-Sub Connectors;Befestigungswinkel 37polig;Mounting Angle 37-Pole;49,5;10;29,25;50;22,5;200;20,6;500;18,75;1000
5006;C1911;SNR04024E150-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x150R Gurt;SMD Res.Network 0,063W 5% 4x150R Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
5007;C1911;SNR04024K033-5;SMD-Dickschicht-Widerstandsnetzwerke 4x0;SMD Resistor Networks 4x0402 5%;SMD-WNetzwerk 0,063W 5% 4x33K Gurt;SMD Res.Network 0,063W 5% 4x33K Taped;2,05;100;1,45;500;1,15;1000;1,01;3000;0,88;5000
5008;W6243;EAW128-6N2LEDTP;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 128x64 schw./gelb 72,0x40,0mm +TP;STN 128x64 Black/Yel. 72,0x40,0mm +TP;60,63;1;54,57;5;47,7;10;46,08;25;43,65;50
5009;W6245;EAKIT120-5LEDTK;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN-Kit 120x32 schw./gelb 56,5x22,0mm;STN-Kit 120x32 Black/Yel. 56,5x22,0mm;185,51;1;166,95;2;145,93;5;140,98;10;133,56;20
5010;W6249;EAW240-7KHLWTP;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 240x128 weiß/blau 114,0x64,0mm +TP;STN 240x128 White/Blue 114,0x64,0mm +TP;222,68;1;200,41;5;175,17;10;169,23;25;160,33;50
5011;W6249;EAW128B-6N2LWTP;EL. ASSEMBLY LCD-Grafikmodule STN monoch;EL. ASSEMBLY LCD-Graphics-Modules STN mo;STN 128x64 weiß/blau 72,0x40,0mm +TP;STN 128x64 White/Blue 72,0x40,0mm +TP;126,03;1;113,43;5;99,14;10;95,78;25;90,74;50
5012;F7115;UG1094CR;BNC-Einbaubuchsen 50 Ohm;BNC-Jacks 50 Ohm;BNC-Einbaubuchse Crimp Mil RG58;BNC-Jack Crimp Mil RG58;2,64;10;2,1;50;1,82;100;1,71;500;1,6;1000
5013;C6731;CLZ2200/25;SMD-Elkos 16-50V 20% 105°C Low ESR;SMD-Electrolytic Caps 16-50V 20% 105°C L;SMD-Elko 2200uF 25V 16x16,5mm;SMD El-Capacitor 2200uF 25V 16x16,5mm;167,04;25;125,28;200;104,4;1000;93,96;3000;83,52;5000
5014;C6165;T495X330U10V;KEMET SMD-Tantalkondensatoren Low ESR;KEMET SMD-Tantalcapacitor;SMD-Tantalkond 330uF 10V X Gurt;SMD Tantalum Cap. 330uF 10V X Taped;256,03;10;191,99;50;160,03;200;146,7;500;133,38;1000
5015;C6165;T495X470U6.3V;KEMET SMD-Tantalkondensatoren Low ESR;KEMET SMD-Tantalcapacitor;SMD-Tantalkond 470uF 6,3V X Gurt;SMD Tantalum Cap. 470uF 6,3V X Taped;399,46;10;299,55;50;249,69;200;228,9;500;208,1;1000
5016;D2272;DPU100A1;Talema Speicher-/Entstördrosseln 1 A;Talema Storage/EMI Suppression Chokes 1;Drossel 100uH 1A;Inductor 100uH 1A;0,99;10;0,78;50;0,68;200;0,64;500;0,6;1000
5017;E1829;PTF45;Sicherungshalter, PC-Montage;Fuse Holders for PCB Mounting;PC-Sicherungshalter VDE 5x20 stehend;PC Fuse Holder VDE 5x20 Vertical;81,64;10;61,2;100;50,98;1000;46,74;3000;42,5;5000
